index,Topic_0,Topic_1,Topic_2,Topic_3,signal,month,net_change
sale,0.03161665577015948,0.002780177407025098,1.1181818495782597e-05,0.0011984499278216607,positive,11-2021,2.0
increase,0.025149049483126466,0.0024754968736404445,1.11686616337182e-05,0.001386411195658304,positive,11-2021,2.0
revenue,0.023006083226522932,5.301920063964859e-06,1.10289611822489e-05,0.0034486783327361483,positive,11-2021,2.0
cost,0.014367351181891592,0.005827943158153025,1.1090588423847088e-05,6.139842069213366e-06,positive,11-2021,2.0
restaurant,0.012976773318927081,0.0033803466777342257,0.018428985767520244,6.134332555403495e-06,positive,11-2021,2.0
high,0.012680553134884882,0.00502071800958006,8.641767675632262e-05,0.005540415112901935,positive,11-2021,2.0
continue,0.012321492804384802,0.005219356591335524,0.0025783155016833948,0.01868503674171106,positive,11-2021,2.0
expect,0.012195835360319951,0.00502270823369478,0.0015432404478274708,0.002867251648994196,positive,11-2021,2.0
margin,0.011385077299720273,0.0057520891631576265,1.1051659806215503e-05,6.1362136570539675e-06,positive,11-2021,2.0
total,0.010927028916390363,5.288818735337298e-06,1.1223559220773786e-05,0.0008017157893949407,positive,11-2021,2.0
approximately,0.010007914777989384,5.203433189987536e-06,1.1178466583858696e-05,0.0005335664991276453,positive,11-2021,2.0
cash,0.009685637268473714,5.288015969124941e-06,1.1008885878743746e-05,0.0035325816681626688,positive,11-2021,2.0
expense,0.009567916480375058,5.226376560044578e-06,1.1053974358849176e-05,6.059765979248858e-06,positive,11-2021,2.0
strong,0.009054578710868434,0.000944639037642744,0.003904275092800819,0.007156898299981444,positive,11-2021,2.0
growth,0.008761838135382642,5.321736376273189e-06,0.004728589369416534,0.01911265087008347,positive,11-2021,2.0
impact,0.008573865096814959,0.004036906096904525,0.000826740105368043,6.126589622004086e-06,positive,11-2021,2.0
rate,0.008541432100060477,0.003386965129267968,1.1095877600248106e-05,6.163502713216244e-06,positive,11-2021,2.0
covid,0.008078757898733259,0.002441579811779638,0.0005873660359602073,6.116458277575019e-06,positive,11-2021,2.0
